user_id,username,description,gender,profile_url,profile_image,verified,verified_reason,follow_count,followers_count
5886617411,鳄鱼十三,✔️抖音/微博双百万财经大V ✔️Ai点评网创始人 （Ai123.com.cn）  ✔️知名科技投资人，耶鲁大学金融学者 早矿，“先让一部分人找到人生的金矿”！,m,https://m.weibo.cn/u/5886617411?,"https://tvax3.sinaimg.cn/crop.0.0.180.180.180/006qnE67ly8h689fje21vj3050050mx0.jpg?KID=imgbed,tva&Expires=1733236038&ssig=7abZD7ZJCa",True,财经博主 基金博主  财经观察官,1237,1182000
2135183661,VV靖哥哥VV,烧冷灶   深积水   养大鱼 ​​​,m,https://m.weibo.cn/u/2135183661?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/7f44512dly8hpr7k82gsfj20u00u0jtp.jpg?KID=imgbed,tva&Expires=1733236038&ssig=wdtCHRLQ6d",True,财经博主 头条文章作者,1169,223000
1725399111,陈家蟹,职业银行搬砖人，10多年金融圈摸爬滚打，真诚地说点事，坚持原创,m,https://m.weibo.cn/u/1725399111?,"https://tvax4.sinaimg.cn/crop.0.0.724.724.180/66d78047ly8hsvhvyp3k0j20k40k4wf4.jpg?KID=imgbed,tva&Expires=1733236038&ssig=Af2Vh7kLio",True,财经观察官 财经博主 头条文章作者,303,27000
7448001746,水白目民,,f,https://m.weibo.cn/u/7448001746?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/008833uqly8hs2i27ix6tj30u00u077h.jpg?KID=imgbed,tva&Expires=1733236038&ssig=0yFysyWO2%2F",False,,216,-1
1692071695,宁瑶Lois,11年公募基金从业，时间看的见,f,https://m.weibo.cn/u/1692071695?,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/64daf70fly8gzvusyojqoj20u00u0gmy.jpg?KID=imgbed,tva&Expires=1733236038&ssig=%2FJIjqawb8q",True,新浪仓石基金合作作者  基金博主  新浪财经M+Lady成员 财经博主 微博原创视频博主,910,1942000
6026186223,阿尔法罗密欧汽车,自诞生之日起，阿尔法·罗密欧始终坚持采用别具一格的造车理念，打造格调与激情兼备的汽车。经典的意式设计风格，融合尖端科技与勇敢无畏的运动精神，激发纯粹驾驭激情。,m,https://m.weibo.cn/u/6026186223?,"https://tvax2.sinaimg.cn/crop.0.0.400.400.180/006zPgjZly8hd67bqalkbj30b40b474i.jpg?KID=imgbed,tva&Expires=1733236038&ssig=dIo7Vc1s1L",True,阿尔法罗密欧官方微博,108,144000
7856209166,绝绝世好运女人的微博号,喜欢当下,f,https://m.weibo.cn/u/7856209166?,"https://tvax2.sinaimg.cn/crop.0.0.750.750.180/008zFQT4ly8hn5jaa7bpkj30ku0kuab8.jpg?KID=imgbed,tva&Expires=1733236038&ssig=yclKyFTpAo",False,,214,-1
5299626492,Fanfan隐于野,行星防御理事会战略情报局常务副局长兼西伯利亚土豆种植园园长,f,https://m.weibo.cn/u/5299626492?,"https://tvax4.sinaimg.cn/crop.0.0.996.996.180/005MEGWEly8g9n1oceeutj30ro0rognh.jpg?KID=imgbed,tva&Expires=1733236038&ssig=M5bIKHKMB%2B",False,,301,-1
2610985105,採籽菜,人生天地间，忽如远行客。,f,https://m.weibo.cn/u/2610985105?,"https://tva2.sinaimg.cn/crop.0.0.439.439.180/9ba07891jw8eu5tfb41lzj20c80c874k.jpg?KID=imgbed,tva&Expires=1733236038&ssig=OgsEIUx6MP",False,,42,-1
6490525182,好运常伴脆脆鲨,兰州大学会计学本科｜北京大学经管在读｜前✈️财务•上市国企集团董办｜审计•投行•公募基金•投资实习｜行动自律•思想自由,m,https://m.weibo.cn/u/6490525182?,"https://tvax1.sinaimg.cn/crop.0.0.1024.1024.180/0075fA62ly8hnopxfh7kwj30sg0sgjuq.jpg?KID=imgbed,tva&Expires=1733236038&ssig=nYZZWs%2Bh24",True,教育博主,1449,59000
7884342661,古贺祐大Keiido1021,长期招新｜古贺祐大全肯定,f,https://m.weibo.cn/u/7884342661?,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/008BzTH7ly8hw2fpb2pl7j30u00u0wi1.jpg?KID=imgbed,tva&Expires=1733236038&ssig=bhWYTejcJP",True,微博译制视频博主,74,17000
7823111790,鲸屿慢递_,鲸鸣万物 予爱屿声 ｜  原创古风玄幻广播剧《归山》已上线漫播｜商务合作戳邮箱3323488478@qq.com,m,https://m.weibo.cn/u/7823111790?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/008xqYKqly8hlwikvl9euj30u00u0q4b.jpg?KID=imgbed,tva&Expires=1733236038&ssig=ZJKbI2ygOP",False,,66,-1
1935084477,迟夙生律师,法律博主,f,https://m.weibo.cn/u/1935084477?,"https://tva3.sinaimg.cn/crop.0.0.180.180.180/73570bbdjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1733236038&ssig=hbnSixH5Ez",True,第九、第十、第十一届全国人大代表、夙生律师事务所主任 微博原创视频博主,15706,3118000
3944436693,vicky瑾,醒来多加餐,f,https://m.weibo.cn/u/3944436693?,"https://tvax1.sinaimg.cn/crop.0.0.1044.1044.180/eb1b53d5ly8ho8rxhf04wj20t00t00uc.jpg?KID=imgbed,tva&Expires=1733236038&ssig=OUU7Lmy5a3",False,,314,-1
6088405229,典道无讼,裁判观点+办案日历,m,https://m.weibo.cn/u/6088405229?,"https://tvax4.sinaimg.cn/crop.0.0.821.821.180/006E2kklly8hqjep16u1xj30mu0mtmyi.jpg?KID=imgbed,tva&Expires=1733236038&ssig=KQKNdgtBUO",False,,3070,25000
7907258004,悟倪桑卡尔,马来西亚驻华大使馆经济公使,m,https://m.weibo.cn/u/7907258004?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/008D831qly8hnf3n8sw1ij30u00u0acb.jpg?KID=imgbed,tva&Expires=1733236038&ssig=L7hoVdXntI",False,,144,-1
7779438701,Xauto报告,理解汽车新商业，和《Xauto报告》一起。 独立思考、追求进步！我们是一家汽车自媒体，关注汽车产品、技术、市场、战略、人物。,f,https://m.weibo.cn/u/7779438701?,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/008utJnLly8hfag8gbf91j30u00u0wex.jpg?KID=imgbed,tva&Expires=1733236038&ssig=3aDo8WF9UX",True,汽车博主,129,76000
7642306982,实习校招情报局,每天发布实习&amp;校招相关信息,f,https://m.weibo.cn/u/7642306982?,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/008lcl9Qly8h63usn989bj30e80e8t9e.jpg?KID=imgbed,tva&Expires=1733236038&ssig=%2BwX8LC%2BCxD",False,,45,-1
3518302552,jollytale,健康平安！,f,https://m.weibo.cn/u/3518302552?,"https://tvax1.sinaimg.cn/crop.0.0.512.512.180/d1b50958ly8hvb0upts2pj20e80e80tt.jpg?KID=imgbed,tva&Expires=1733236038&ssig=sKZjWi2wbN",False,,233,-1
